node,x,y,demand_mean,demand_desv,supply_mean,supply_desv
0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,30.0,0.0,10.0,1.0,10.0,3.0
2.0,29.6306,4.693,30.0,5.0,26.0,10.0
3.0,28.5317,9.2705,30.0,7.0,24.0,10.0
4.0,26.7302,13.6197,10.0,3.0,8.0,4.0
5.0,24.2705,17.6336,10.0,4.0,7.0,3.0
6.0,21.2132,21.2132,30.0,10.0,21.0,9.0
7.0,17.6336,24.2705,30.0,10.0,21.0,9.0
8.0,13.6197,26.7302,10.0,3.0,8.0,4.0
9.0,9.2705,28.5317,10.0,3.0,8.0,3.0
10.0,4.693,29.6306,30.0,5.0,26.0,10.0
11.0,0.0,30.0,30.0,1.0,30.0,10.0
12.0,-4.693,29.6306,10.0,2.0,9.0,3.0
13.0,-9.2705,28.5317,10.0,3.0,8.0,3.0
14.0,-13.6197,26.7302,30.0,9.0,22.0,9.0
15.0,-17.6336,24.2705,30.0,10.0,21.0,9.0
16.0,-21.2132,21.2132,10.0,4.0,7.0,3.0
17.0,-24.2705,17.6336,10.0,4.0,7.0,3.0
18.0,-26.7302,13.6197,30.0,9.0,22.0,9.0
19.0,-28.5317,9.2705,30.0,7.0,24.0,10.0
20.0,-29.6307,4.693,10.0,2.0,9.0,3.0
21.0,-30.0,0.0,10.0,1.0,10.0,3.0
22.0,-29.6306,-4.693,30.0,5.0,26.0,10.0
23.0,-28.5317,-9.2705,30.0,7.0,24.0,10.0
24.0,-26.7302,-13.6197,10.0,3.0,8.0,4.0
25.0,-24.2705,-17.6336,10.0,4.0,7.0,3.0
26.0,-21.2132,-21.2132,30.0,10.0,21.0,9.0
27.0,-17.6336,-24.2705,30.0,10.0,21.0,9.0
28.0,-13.6197,-26.7302,10.0,3.0,8.0,4.0
29.0,-9.2705,-28.5317,10.0,3.0,8.0,3.0
30.0,-4.693,-29.6307,30.0,5.0,26.0,10.0
31.0,0.0,-30.0,30.0,1.0,30.0,10.0
32.0,4.693,-29.6306,10.0,2.0,9.0,3.0
33.0,9.2705,-28.5317,10.0,3.0,8.0,3.0
34.0,13.6197,-26.7302,30.0,9.0,22.0,9.0
35.0,17.6336,-24.2705,30.0,10.0,21.0,9.0
36.0,21.2132,-21.2132,10.0,4.0,7.0,3.0
37.0,24.2705,-17.6336,10.0,4.0,7.0,3.0
38.0,26.7302,-13.6197,30.0,9.0,22.0,9.0
39.0,28.5317,-9.2705,30.0,7.0,24.0,10.0
40.0,29.6307,-4.693,10.0,2.0,9.0,3.0
41.0,60.0,0.0,10.0,1.0,10.0,2.0
42.0,59.2613,9.3861,30.0,5.0,26.0,9.0
43.0,57.0634,18.541,30.0,7.0,24.0,9.0
44.0,53.4604,27.2394,10.0,3.0,8.0,3.0
45.0,48.541,35.2671,10.0,3.0,8.0,3.0
46.0,42.4264,42.4264,30.0,10.0,21.0,9.0
47.0,35.2671,48.541,30.0,9.0,22.0,10.0
48.0,27.2394,53.4604,10.0,3.0,8.0,3.0
49.0,18.541,57.0634,10.0,3.0,8.0,3.0
50.0,9.3861,59.2613,30.0,5.0,26.0,9.0
51.0,0.0,60.0,30.0,1.0,30.0,8.0
52.0,-9.3861,59.2613,10.0,2.0,9.0,3.0
53.0,-18.541,57.0634,10.0,3.0,8.0,3.0
54.0,-27.2394,53.4604,30.0,8.0,23.0,10.0
55.0,-35.2671,48.541,30.0,9.0,22.0,10.0
56.0,-42.4264,42.4264,10.0,4.0,7.0,3.0
57.0,-48.541,35.2671,10.0,3.0,8.0,3.0
58.0,-53.4604,27.2394,30.0,8.0,23.0,10.0
59.0,-57.0634,18.541,30.0,7.0,24.0,9.0
60.0,-59.2613,9.3861,10.0,2.0,9.0,3.0
61.0,-60.0,0.0,10.0,1.0,10.0,2.0
62.0,-59.2613,-9.3861,30.0,5.0,26.0,9.0
63.0,-57.0634,-18.541,30.0,7.0,24.0,9.0
64.0,-53.4604,-27.2394,10.0,3.0,8.0,3.0
65.0,-48.541,-35.2671,10.0,3.0,8.0,3.0
66.0,-42.4264,-42.4264,30.0,10.0,21.0,9.0
67.0,-35.2671,-48.541,30.0,9.0,22.0,10.0
68.0,-27.2394,-53.4604,10.0,3.0,8.0,3.0
69.0,-18.541,-57.0634,10.0,3.0,8.0,3.0
70.0,-9.3861,-59.2613,30.0,5.0,26.0,9.0
71.0,0.0,-60.0,30.0,1.0,30.0,8.0
72.0,9.3861,-59.2613,10.0,2.0,9.0,3.0
73.0,18.541,-57.0634,10.0,3.0,8.0,3.0
74.0,27.2394,-53.4604,30.0,8.0,23.0,10.0
75.0,35.2671,-48.541,30.0,9.0,22.0,10.0
76.0,42.4264,-42.4264,10.0,4.0,7.0,3.0
77.0,48.541,-35.2671,10.0,3.0,8.0,3.0
78.0,53.4604,-27.2394,30.0,8.0,23.0,10.0
79.0,57.0634,-18.541,30.0,7.0,24.0,9.0
80.0,59.2613,-9.3861,10.0,2.0,9.0,3.0
81.0,90.0,0.0,10.0,1.0,10.0,2.0
82.0,88.892,14.0791,30.0,5.0,26.0,8.0
83.0,85.5951,27.8115,30.0,7.0,24.0,9.0
84.0,80.1906,40.8591,10.0,3.0,8.0,3.0
85.0,72.8115,52.9007,10.0,3.0,8.0,3.0
86.0,63.6396,63.6396,30.0,9.0,22.0,9.0
87.0,52.9007,72.8115,30.0,9.0,22.0,9.0
88.0,40.8591,80.1906,10.0,3.0,8.0,3.0
89.0,27.8115,85.5951,10.0,3.0,8.0,3.0
90.0,14.0791,88.892,30.0,5.0,26.0,8.0
91.0,0.0,90.0,30.0,1.0,30.0,7.0
92.0,-14.0791,88.892,10.0,2.0,9.0,2.0
93.0,-27.8115,85.5951,10.0,3.0,8.0,3.0
94.0,-40.8591,80.1906,30.0,8.0,23.0,9.0
95.0,-52.9007,72.8115,30.0,9.0,22.0,9.0
96.0,-63.6396,63.6396,10.0,3.0,8.0,3.0
97.0,-72.8115,52.9007,10.0,3.0,8.0,3.0
98.0,-80.1906,40.8591,30.0,8.0,23.0,9.0
99.0,-85.5951,27.8115,30.0,7.0,24.0,9.0
100.0,-88.892,14.0791,10.0,2.0,9.0,2.0
101.0,-90.0,0.0,10.0,1.0,10.0,2.0
102.0,-88.892,-14.0791,30.0,5.0,26.0,8.0
103.0,-85.5951,-27.8115,30.0,7.0,24.0,9.0
104.0,-80.1906,-40.8592,10.0,3.0,8.0,3.0
105.0,-72.8115,-52.9007,10.0,3.0,8.0,3.0
106.0,-63.6396,-63.6396,30.0,9.0,22.0,9.0
107.0,-52.9007,-72.8115,30.0,9.0,22.0,9.0
108.0,-40.8591,-80.1906,10.0,3.0,8.0,3.0
109.0,-27.8115,-85.5951,10.0,3.0,8.0,3.0
110.0,-14.0791,-88.892,30.0,5.0,26.0,8.0
111.0,0.0,-90.0,30.0,1.0,30.0,7.0
112.0,14.0791,-88.892,10.0,2.0,9.0,2.0
113.0,27.8115,-85.5951,10.0,3.0,8.0,3.0
114.0,40.8592,-80.1906,30.0,8.0,23.0,9.0
115.0,52.9007,-72.8115,30.0,9.0,22.0,9.0
116.0,63.6396,-63.6396,10.0,3.0,8.0,3.0
117.0,72.8115,-52.9007,10.0,3.0,8.0,3.0
118.0,80.1906,-40.8591,30.0,8.0,23.0,9.0
119.0,85.5951,-27.8115,30.0,7.0,24.0,9.0
120.0,88.892,-14.0791,10.0,2.0,9.0,2.0
121.0,120.0,0.0,10.0,1.0,10.0,1.0
122.0,118.5226,18.7721,30.0,4.0,27.0,8.0
123.0,114.1268,37.082,30.0,7.0,24.0,8.0
124.0,106.9208,54.4789,10.0,3.0,8.0,3.0
125.0,97.082,70.5342,10.0,3.0,8.0,3.0
126.0,84.8528,84.8528,30.0,9.0,22.0,9.0
127.0,70.5342,97.082,30.0,9.0,22.0,9.0
128.0,54.4789,106.9208,10.0,3.0,8.0,3.0
129.0,37.082,114.1268,10.0,3.0,8.0,3.0
130.0,18.7721,118.5226,30.0,4.0,27.0,8.0
131.0,0.0,120.0,30.0,1.0,30.0,6.0
132.0,-18.7721,118.5226,10.0,2.0,9.0,2.0
133.0,-37.082,114.1268,10.0,3.0,8.0,3.0
134.0,-54.4789,106.9208,30.0,8.0,23.0,9.0
135.0,-70.5342,97.082,30.0,9.0,22.0,9.0
136.0,-84.8528,84.8528,10.0,3.0,8.0,3.0
137.0,-97.082,70.5342,10.0,3.0,8.0,3.0
138.0,-106.9208,54.4789,30.0,8.0,23.0,9.0
139.0,-114.1268,37.082,30.0,7.0,24.0,8.0
140.0,-118.5226,18.7721,10.0,2.0,9.0,2.0
141.0,-120.0,0.0,10.0,1.0,10.0,1.0
142.0,-118.5226,-18.7721,30.0,4.0,27.0,8.0
143.0,-114.1268,-37.0821,30.0,7.0,24.0,8.0
144.0,-106.9208,-54.4789,10.0,3.0,8.0,3.0
145.0,-97.082,-70.5342,10.0,3.0,8.0,3.0
146.0,-84.8528,-84.8528,30.0,9.0,22.0,9.0
