index,Instance,Capacity,Deterministic,Stochastic 1,Stochastic 2,Stochastic 3,Stochastic 4,Stochastic 5,gap1,gap2,gap3,gap4,gap5
0,Kelly01,550,7684.672086463003,7788.485955503518,7558.444122688515,8075.975420923861,7466.388526270911,8090.219755343758,1.350921260822424,-1.6425940151284604,5.091997811463694,-2.840505850296613,5.277358152928224
1,Kelly02,700,12832.816420465559,12018.094826430877,11496.076396610815,11905.398268470157,12121.632635271899,11631.45751906457,-6.3487356737635325,-10.416575598501767,-7.226926043423881,-5.541915055057406,-9.361615268532024
2,Kelly03,900,17999.638653794063,16657.34864738335,17724.449116297827,17369.223460167774,17484.543758371736,17131.315920161975,-7.45731640633673,-1.5288614554394453,-3.502376940736015,-2.861695755840927,-4.824112029877105
3,Kelly04,1000,24568.324967619257,23388.884051479,22963.099605334315,23065.679360579692,22812.88914426397,22922.129969136036,-4.800656608436865,-6.533719186800926,-6.116190700912794,-7.145118056151288,-6.700477141412306
4,Kelly05,900,12028.702184019385,12017.518818419629,10938.325017496856,12002.226581174657,11735.229255389717,12194.897625720061,-0.09297233756949852,-9.064794770387936,-0.220103569277009,-2.439772172758242,1.3816572990016638
5,Kelly06,900,15111.888707643884,14565.059328449563,13919.270489830576,14271.6602342343,14319.525958653445,14518.977402636709,-3.6185376280446313,-7.891920334286597,-5.5600493734749445,-5.243307202160952,-3.923475857172437
6,Kelly07,900,17755.142751101666,16778.966300101205,16174.199062042131,16427.463749473132,15792.964844345111,16246.040028472164,-5.497992692510973,-8.9041451889281,-7.477715162533147,-11.051321491824142,-8.499524581608146
7,Kelly08,900,19181.404714715936,17428.923084952054,18379.865303689843,18303.918332988414,17722.800596810917,17864.38016804219,-9.136357090778562,-4.178731552497579,-4.5746721618063555,-7.604261208179299,-6.866152746692886
8,Kelly09,1000,860.0325228060187,732.8725653837233,772.0144823946506,780.3744595356253,750.1659503932693,809.4801876104111,-14.785482414945426,-10.234268830228958,-9.262215225360773,-12.774699735108731,-5.877956223175265
9,Kelly10,1000,1055.2057738651574,976.8292312439513,993.5392127460796,959.1202804086727,946.7450360883706,909.1328594248297,-7.427607445144789,-5.844031813169183,-9.105853648291667,-10.278633842146393,-13.84307384002185
10,Kelly11,1000,1271.1048315421099,1234.0537921068778,1159.6325144153775,1150.3918380650655,1135.9685929399209,1162.07102884095,-2.9148689011182154,-8.769718622774306,-9.496698500515876,-10.631399963938547,-8.577876505187977
11,Kelly12,1000,1476.7572601733457,1397.2143571923611,1395.3236201631914,1321.1070978233213,1376.1465856929374,1433.2580506945667,-5.386322121189204,-5.514355148698938,-10.539996419706362,-6.8129459860314725,-2.945589681656479
12,Kelly13,1000,945.2476279801456,938.3260121937413,929.1238167348264,960.515861376265,894.3677202584635,988.5774682912213,-0.7322542349241015,-1.7057764302221408,1.6152628098888073,-5.382706733727009,4.583967103272735
13,Kelly14,1000,1335.679598463283,1125.361188834774,1225.1638680224949,1210.2738565757484,1117.830700743718,1192.6786467273482,-15.746172201064006,-8.27411982394115,-9.388908989237802,-16.309966699364356,-10.706231636723297
14,Kelly15,1000,1542.048881450148,1477.5881802825686,1399.7378739224014,1435.0325686194794,1444.9750789430511,1463.3749625373966,-4.180198302595979,-9.228696265057229,-6.939878113982355,-6.295118376261089,-5.101908237744455
15,Kelly16,1000,1817.4292253067367,1726.7533146226406,1731.4366467595569,1806.6911582054688,1835.4640777808,1762.1484130576232,-4.9892402642965274,-4.731550332182341,-0.5908382539328648,0.9923276363633564,-3.0417037142001226
16,Kelly17,200,703.9556929857599,756.0011071462378,737.8473559291261,785.5965404379033,802.1309744202603,712.9443892390497,7.3932798156276425,4.8144596714060235,11.597441183531254,13.946230197826711,1.2768838071562496
17,Kelly18,200,971.4435791510792,1002.5669066525516,1015.8121628049583,1062.5265976021815,1049.879912447312,1046.824217007322,3.203822452423869,4.567283639123101,9.376048224097325,8.07420368816236,7.75965166418785
18,Kelly19,200,1262.2872881809533,1400.3922759436996,1418.9219790444297,1386.3455498558665,1294.518745774579,1375.7216572535206,10.94085229692565,12.408798878835123,9.82805283999097,2.5534169515462315,8.986414593149739
19,Kelly20,200,1712.6142756539155,1755.7811764441465,1772.8088760018395,1752.8883962157809,1877.9036107769275,1822.6178416618188,2.520526741127911,3.5147786167402097,2.3516165393686106,9.651287944560709,6.4231372803371904
