Instance,Capacity,Deterministic
Kelly01,550,7684.672086463003
Kelly02,700,12832.81642046556
Kelly03,900,17999.638653794063
Kelly04,1000,24568.32496761926
Kelly05,900,12028.702184019383
Kelly06,900,15111.888707643884
Kelly07,900,17755.142751101663
Kelly08,900,19181.404714715936
Kelly09,1000,860.0325228060187
Kelly10,1000,1055.2057738651574
Kelly11,1000,1271.10483154211
Kelly12,1000,1476.7572601733457
Kelly13,1000,945.2476279801456
Kelly14,1000,1335.679598463283
Kelly15,1000,1542.048881450148
Kelly16,1000,1817.4292253067367
Kelly17,200,703.9556929857599
Kelly18,200,971.4435791510793
Kelly19,200,1262.2872881809533
Kelly20,200,1712.6142756539157
