Instance,Capacity,Beta,Stochastic
Kelly01,550,0.5,8090.219755343759
Kelly02,700,0.5,11631.45751906457
Kelly03,900,0.5,17131.315920161975
Kelly04,1000,0.5,22922.129969136033
Kelly05,900,0.5,12194.897625720061
Kelly06,900,0.5,14518.97740263671
Kelly07,900,0.5,16246.040028472162
Kelly08,900,0.5,17864.38016804219
Kelly09,1000,0.5,809.4801876104111
Kelly10,1000,0.5,909.1328594248298
Kelly11,1000,0.5,1162.07102884095
Kelly12,1000,0.5,1433.2580506945667
Kelly13,1000,0.5,988.5774682912214
Kelly14,1000,0.5,1192.6786467273482
Kelly15,1000,0.5,1463.3749625373966
Kelly16,1000,0.5,1762.1484130576232
Kelly17,200,0.5,712.9443892390497
Kelly18,200,0.5,1046.824217007322
Kelly19,200,0.5,1375.7216572535203
Kelly20,200,0.5,1822.6178416618188
